Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Latitude,Longitude,Death,Cured/Discharged
2020-01-30,Kerala,1,0,0,10.8505,76.2711,0,0
2020-01-31,Kerala,1,0,0,10.8505,76.2711,0,0
2020-02-01,Kerala,2,0,0,10.8505,76.2711,0,0
2020-02-02,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-03,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-04,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-05,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-06,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-07,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-08,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-09,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-10,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-11,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-12,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-13,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-14,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-15,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-16,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-17,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-18,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-19,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-20,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-21,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-22,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-23,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-24,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-25,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-26,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-27,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-28,Kerala,3,0,0,10.8505,76.2711,0,0
2020-02-29,Kerala,3,0,0,10.8505,76.2711,0,0
2020-03-01,Kerala,3,0,0,10.8505,76.2711,0,0
2020-03-02,Delhi,1,0,0,28.7041,77.1025,0,0
2020-03-02,Kerala,3,0,0,10.8505,76.2711,0,0
2020-03-02,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-03,Delhi,1,0,0,28.7041,77.1025,0,0
2020-03-03,Kerala,3,0,3,10.8505,76.2711,0,0
2020-03-03,Rajasthan,0,1,0,27.0238,74.2179,0,0
2020-03-03,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-04,Delhi,1,0,0,28.7041,77.1025,0,0
2020-03-04,Haryana,0,2,0,29.0588,76.0856,0,0
2020-03-04,Kerala,3,0,3,10.8505,76.2711,0,0
2020-03-04,Rajasthan,1,14,0,27.0238,74.2179,0,0
2020-03-04,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-04,Uttar Pradesh,6,0,0,26.8467,80.9462,0,0
2020-03-05,Delhi,2,0,0,28.7041,77.1025,0,0
2020-03-05,Haryana,0,2,0,29.0588,76.0856,0,0
2020-03-05,Kerala,3,0,3,10.8505,76.2711,0,0
2020-03-05,Rajasthan,1,14,0,27.0238,74.2179,0,0
2020-03-05,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-05,Uttar Pradesh,7,0,0,26.8467,80.9462,0,0
2020-03-06,Delhi,3,0,0,28.7041,77.1025,0,0
2020-03-06,Haryana,0,2,0,29.0588,76.0856,0,0
2020-03-06,Kerala,3,0,3,10.8505,76.2711,0,0
2020-03-06,Rajasthan,1,14,0,27.0238,74.2179,0,0
2020-03-06,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-06,Uttar Pradesh,7,0,0,26.8467,80.9462,0,0
2020-03-07,Delhi,3,0,0,28.7041,77.1025,0,0
2020-03-07,Haryana,0,2,0,29.0588,76.0856,0,0
2020-03-07,Kerala,3,0,3,10.8505,76.2711,0,0
2020-03-07,Rajasthan,1,14,0,27.0238,74.2179,0,0
2020-03-07,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-07,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-07,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,0
2020-03-07,Uttar Pradesh,7,0,0,26.8467,80.9462,0,0
2020-03-08,Delhi,3,0,0,28.7041,77.1025,0,0
2020-03-08,Haryana,0,2,0,29.0588,76.0856,0,0
2020-03-08,Kerala,8,0,3,10.8505,76.2711,0,0
